run_id,model,variant,seed,n_train,train_loss,accuracy,avg_output_tokens,latency_s_per_item,wall_min
baseline|Qwen3-0.6B,unsloth/Qwen3-0.6B,pre-distill,-1,0,,0.35333333333333333,87.43666666666667,1.1203116456667581,
baseline|Qwen3-1.7B,unsloth/Qwen3-1.7B,pre-distill,-1,0,,0.7266666666666667,115.89666666666666,1.77858602364858,
Qwen3-0.6B|G1|3407,unsloth/Qwen3-0.6B,G1,3407,1455,0.16941463816296923,0.43,42.586666666666666,0.5379880301157633,16.58504742383957
Qwen3-0.6B|G1|42,unsloth/Qwen3-0.6B,G1,42,1455,0.16920882703620435,0.44333333333333336,42.27,0.46254992882410684,16.02361952463786
Qwen3-0.6B|G2|3407,unsloth/Qwen3-0.6B,G2,3407,1455,0.32570149348332333,0.56,97.17333333333333,1.1066323161125182,19.217573853333793
Qwen3-0.6B|G2|42,unsloth/Qwen3-0.6B,G2,42,1455,0.3240920038886996,0.5733333333333334,96.82666666666667,1.005003887017568,18.748546159267427
Qwen3-0.6B|G3|3407,unsloth/Qwen3-0.6B,G3,3407,1455,0.47145647531027324,0.56,363.06333333333333,2.8151772570610047,27.967129417260487
Qwen3-0.6B|G3|42,unsloth/Qwen3-0.6B,G3,42,1455,0.47095505571190693,0.5933333333333334,360.43333333333334,2.790620742638906,27.898181760311125
Qwen3-0.6B|AO|3407,unsloth/Qwen3-0.6B,AO,3407,1455,0.38676554641444166,0.12333333333333334,5.4,0.04928917407989502,14.062477664152782
Qwen3-1.7B|G1|3407,unsloth/Qwen3-1.7B,G1,3407,1455,0.1655763309080522,0.5933333333333334,39.983333333333334,0.5984120543797811,17.025554502010344
Qwen3-1.7B|G1|42,unsloth/Qwen3-1.7B,G1,42,1455,0.16510356127560794,0.58,40.55,0.5956930716832479,16.976254725456236
Qwen3-1.7B|G2|3407,unsloth/Qwen3-1.7B,G2,3407,1455,0.2871798167735229,0.73,95.54,1.2753892795244852,20.633188048998516
Qwen3-1.7B|G2|42,unsloth/Qwen3-1.7B,G2,42,1455,0.28727268386673144,0.7466666666666667,97.18333333333334,1.6636072158813477,22.570772902170816
Qwen3-1.7B|G3|3407,unsloth/Qwen3-1.7B,G3,3407,1455,0.40934269768851145,0.75,355.87666666666667,4.389174412886302,47.47711578607559
Qwen3-1.7B|G3|42,unsloth/Qwen3-1.7B,G3,42,1455,0.407471565973191,0.7733333333333333,356.32,4.413654604752859,47.61910800139109
Qwen3-1.7B|AO|3407,unsloth/Qwen3-1.7B,AO,3407,1455,0.44815569133548944,0.2,5.42,0.0795680578549703,14.459569974740345
